Subscription,Resource Group,VM Name,OS,Auto Update Enabled
Sub-MoogComm-Aircraft-Convergence-NonProd,cvg-sim-cmp-rg,cvg-sim-cmp-licenceserver,Windows,No
Sub-MoogComm-Aircraft-Convergence-NonProd,cvg-sim-img-rg,cvg-sim-img-plantsimvm,Windows,No
Sub-MoogComm-Aircraft-Convergence-NonProd,RG-GBAZ1-CVG-Convergence-Bastion-SB,gbaz1scvgba01,Linux,Yes
Sub-MoogComm-Aircraft-Convergence-NonProd,RG-GBAZ1-Convergence-Solumina-ActiveMQ-SB,gbaz1scvgmq01,Linux,Yes
Sub-MoogComm-Aircraft-Convergence-NonProd,RG-GBAZ1-CVG-WP2-DevelopmentVms-NP,gbaz1ncvgdev1,Windows,Yes
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-Integration-Runtime-SB,usae2sint01,Windows,Yes
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-IRE-SB,usae2sint02,Windows,Yes
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-IRE-SB,usae2sint03,Windows,Yes
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-IRE-SB,usae2sint04,Windows,Yes
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-IRE-SB,usae2sint05,Windows,Yes
Sub-MoogComm-Corp-Analytics-UK-NonProd,RG-GBAZ1-Analytics-Synapse-Integration-Runtime-NP,gbaz1nint01,Windows,Yes
Sub-MoogComm-Corp-Analytics-UK-NonProd,RG-GBAZ1-Analytics-Synapse-Integration-Runtime-NP,gbaz1nint02,Windows,Yes
Sub-MoogComm-Corp-Analytics-UK-NonProd,RG-GBAZ1-Analytics-Synapse-Integration-Runtime-NP,gbaz1nint03,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-GBAZ1-APPDEV-DEV,IGAppdevDEV1,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Americas-MoogWebContent,usaz2svmwapp03,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Dev-DistApps,usaz2svdfgwdv01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Dev-DistApps,usaz2svhcmdv01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-IDM,usaz2svidmd01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIORCD01,Windows,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD02,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD03,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD04,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD05,Windows,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD06,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD07,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-Application-Dev,usaz2svd2atweb01,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-Services-Dev,usaz2svd2atsvc01,Linux,Yes
