Subscription,Resource Group,VM Name,Agent Status
c74ec5fa-7686-4614-bbb8-611b7db3bb15,agvpnfs01-Restore,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,agvpnfs02-Restore,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,azureapp-auto-alerts-105a6e-wmasiewicz2_moog_onmicrosoft_com,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,azureapp-auto-alerts-f91ddc-akuch2_moog_onmicrosoft_com,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,AzureBackupRG_usgovarizona_1,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,AzureBackupRG_usgovvirginia_1,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,cloud-shell-storage-usgovvirginia,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,Default-ActivityLogAlerts,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,MA_amwusagvadsapmon_usgovvirginia_managed,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,NetworkWatcherRG,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-Global-ADSAP-Container,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-Global-ADSAP-Network-Common-Prod,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-Global-ADSAP-Rise-Private-DNS,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-MaintConfig-SAP-Prod,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-Restore-ADSAP-Prod-Nov-Patch,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,rg-usaga-adsap-analytics,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Automation-HybridWorker,usagasvphwkr01,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Backup,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Encryption-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-IBP-CPI-AGENT-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Kasten-Backup,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Middleware-Boomi-Security-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-NetApp-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-NetApp-v2,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Network-Hub-Bastion,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Network-NetApp,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Network-NetApp-Security,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Network-SAP-AKS-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Network-SAP-AKS-DR-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-PrintServer-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Recovery,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Recovery-Automation,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAP-AKS-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAP-AKS-DR-Node,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAP-AS-ProcessOrchestration-DR,agappoas01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAP-AS-SDI-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAP-Common,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAP-DB-HANA-PO-DR,agappodb01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAP-Encryption,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAP-Onvault,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-SAPRouter-DMZ-Network-NP,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Solumina-ActiveMQ-DR,usagasvpsolm01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Solumina-Encryption-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Solumina-FileShare-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-ADSAP-Solumina-SQL-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-Automic-Application-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-DataServices-Recovery,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-MGMT-Remote,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-AS-NFS-DR,agapnfs01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-AS-ProcessOrchestration-DR,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-AS-S4-DR,agaps4as01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-AS-SAPRouter-DR,agapsaprt01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-DB-HANA-S4-DR,agaps4db01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-DB-HANA-Shared-DR,agapcodb01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-Network,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-Network-Hub,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-Network-Middleware,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-Network-SAP,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-ROUTER,agapsaprtr01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-Web-Fiori-DR,agapgwas01,No Azure Monitor Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGA-SAP-Web-WebDispatcher-DR,agapwdci01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGT-ADSAP-Kasten-Backup,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Analytics,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Automic-Agent,usagvpautagt01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Automic-Agent,usagvpautagt02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,rg-usagv-adsap-automic-agent-asr,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-Adsap-Automic-Storage,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Backup,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Backup-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Citrix-Encryption,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Citrix-Secrets,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-DEVOPS-AUTOMATION,usagvpsdaa01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Ehub-Common,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Encryption,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Kasten-Backup,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Middleware-Boomi-Security,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Middleware-Common,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-NetApp,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-NetApp-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-NetApp-v2,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-Citrix,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-Citrix-Security,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-NetApp,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-NetApp-Security,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-SAP-AKS,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-SAP-AKS-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-SAP-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-SAP-Security,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-SAP-Security-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-Network-SAP-Shared,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-PrintServer,usagvsvpprint01,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-PrintServer,usagvsvpprint02,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AKS,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AKS-Node,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AKS-Node-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AKS-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-CentralServices-Fiori-Prep,agvrfscs01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-CentralServices-Fiori-Prep,agvrfscs02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-CentralServices-Prep,agvrscs01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-CentralServices-Prep,agvrscs02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-DataServices-EHub,agvpdsas01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-IBP-CPI-Agent,usagvsvpibpas01,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-IBP-CPI-Agent,usagvsvpibpas02,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-PO-CentralServices,agvpposcs01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-PO-CentralServices,agvpposcs02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-PO-CentralServices-Prep,agvrposcs01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-PO-CentralServices-Prep,agvrposcs02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-ProcessOrchestration,agvppoas02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-ProcessOrchestration-Prep,agvrpoas01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-ProcessOrchestration-Prep,agvrpoas02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-S4-Prep,agvrs4as01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-S4-Prep,agvrs4as02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-SDI,agvpibpsdi01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-SDI,agvpibpsdi02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-SLT-EHub,agvpsltci01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-AS-SolutionManager,agvpsmap01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-CI-DataServices-EHub,agvpdsci01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-Citrix-CloudConnector,usagvsvpxccc01,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-Citrix-CloudConnector,usagvsvpxccc02,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-Citrix-XenApp,usagvsvpcxsol01,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-Citrix-XenApp,usagvsvpcxsol02,Windows Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-Common,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-Common-Prep,,No VMs exist
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-Common-Prep,agvrcodb01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-Common-Prep,agvrcodb02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-EHub,agvpehdb01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-PO,agvppodb01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-PO,agvppodb02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-PO-Prep,agvrpodb01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-PO-Prep,agvrpodb02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-S4-Prep,agvrs4db01,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-S4-Prep,agvrs4db02,Linux Agent Installed
c74ec5fa-7686-4614-bbb8-611b7db3bb15,RG-USAGV-ADSAP-SAP-DB-HANA-SOL,agvpsmdb01,Linux Agent Installed
