SubscriptionName,PolicyName,RetentionDays,RetentionMonths,SchedulePolicyType,ScheduleRunFrequency,RecoveryServicesVault
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,rsv-usaga-adsap-recovery
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,rsv-usaga-adsap-recovery
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,rsv-usaga-adsap-recovery
Production Moog Portal,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,BUP-USAGV-SPFarm
Production Moog Portal,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,BUP-USAGV-SPFarm
Production Moog Portal,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,BUP-USAGV-SPFarm
Production Moog Portal,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,BUP-USAGV-SPFarm-STG
Production Moog Portal,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,BUP-USAGV-SPFarm-STG
Production Moog Portal,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,BUP-USAGV-SPFarm-STG
Production Moog Portal,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,RSV-USAGV-IaaS
Production Moog Portal,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,RSV-USAGV-IaaS
Production Moog Portal,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,RSV-USAGV-IaaS
Production Moog Portal,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,RSV-USAGV-iObeya
Production Moog Portal,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,RSV-USAGV-iObeya
Production Moog Portal,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,RSV-USAGV-iObeya
Production Moog Portal,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,RSV-USAGA-DataServices-Recovery
Production Moog Portal,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,RSV-USAGA-DataServices-Recovery
Production Moog Portal,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,RSV-USAGA-DataServices-Recovery
Production Moog Portal,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,RSV-USAGA-SYSTEMS
Production Moog Portal,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,RSV-USAGA-SYSTEMS
Production Moog Portal,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,RSV-USAGA-SYSTEMS
