SubscriptionName,PolicyName,RetentionDays,RetentionMonths,RunFreq,IdSegment,RecoveryServicesVault,SnapshotRetentionDays,SnapshotType
Sub-MoogComm-Aircraft-Convergence-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-gbaz1-convergence-backup-sb,5,null
Sub-MoogComm-Aircraft-Convergence-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-gbaz1-convergence-backup-sb,5,null
Sub-MoogComm-Aircraft-Convergence-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-gbaz1-convergence-backup-sb,2,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAE2-Analytics-Backup-Dev,5,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAE2-Analytics-Backup-Dev,5,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAE2-Analytics-Backup-Dev,2,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAE2-Analytics-Backup-NP,5,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAE2-Analytics-Backup-NP,5,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAE2-Analytics-Backup-NP,2,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAE2-Analytics-Backup-SB,5,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAE2-Analytics-Backup-SB,2,null
Sub-MoogComm-Corp-Analytics-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAE2-Analytics-Backup-SB,5,null
Sub-MoogComm-Corp-Analytics-US-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAE2-Analytics-Backup-US-NP,2,null
Sub-MoogComm-Corp-Analytics-US-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAE2-Analytics-Backup-US-NP,5,null
Sub-MoogComm-Corp-Analytics-US-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAE2-Analytics-Backup-US-NP,5,null
Sub-MoogComm-Corp-Analytics-UK-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-GBAZ1-Analytics-Backup-NP,5,null
Sub-MoogComm-Corp-Analytics-UK-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-GBAZ1-Analytics-Backup-NP,5,null
Sub-MoogComm-Corp-Analytics-UK-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-GBAZ1-Analytics-Backup-NP,2,null
