SubscriptionName,PolicyName,RetentionDays,RetentionWeeks,RetentionMonths,RetentionYears,IncrementalRetentionDays,SchedulePolicyType,ScheduleRunFrequency,ScheduleRunDays,WorkloadType,ResourceGroup,RecoveryServicesVault
Sub-MoogComm-Aircraft-Convergence-NonProd,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-GBAZ1-Convergence-Backup-SB,rsv-gbaz1-convergence-backup-sb
Sub-MoogComm-Aircraft-Convergence-NonProd,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-GBAZ1-Convergence-Backup-SB,rsv-gbaz1-convergence-backup-sb
Sub-MoogComm-Aircraft-Convergence-NonProd,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-GBAZ1-Convergence-Backup-SB,rsv-gbaz1-convergence-backup-sb
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-Analytics-Backup-Dev,RSV-USAE2-Analytics-Backup-Dev
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup-Dev,RSV-USAE2-Analytics-Backup-Dev
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup-Dev,RSV-USAE2-Analytics-Backup-Dev
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-Analytics-Backup-NP,RSV-USAE2-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup-NP,RSV-USAE2-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup-NP,RSV-USAE2-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup-SB,RSV-USAE2-Analytics-Backup-SB
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-Analytics-Backup-SB,RSV-USAE2-Analytics-Backup-SB
Sub-MoogComm-Corp-Analytics-NonProd,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup-SB,RSV-USAE2-Analytics-Backup-SB
Sub-MoogComm-Corp-Analytics-US-NonProd,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-Analytics-Backup-US-NP,RSV-USAE2-Analytics-Backup-US-NP
Sub-MoogComm-Corp-Analytics-US-NonProd,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup-US-NP,RSV-USAE2-Analytics-Backup-US-NP
Sub-MoogComm-Corp-Analytics-US-NonProd,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup-US-NP,RSV-USAE2-Analytics-Backup-US-NP
Sub-MoogComm-Corp-Analytics-UK-NonProd,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-GBAZ1-Analytics-Backup-NP,RSV-GBAZ1-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-UK-NonProd,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-GBAZ1-Analytics-Backup-NP,RSV-GBAZ1-Analytics-Backup-NP
Sub-MoogComm-Corp-Analytics-UK-NonProd,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-GBAZ1-Analytics-Backup-NP,RSV-GBAZ1-Analytics-Backup-NP
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-AutoTime-Backup-NP,rsv-usaz2-autotime-backup-np
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-AutoTime-Backup-NP,rsv-usaz2-autotime-backup-np
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAZ2-AutoTime-Backup-NP,rsv-usaz2-autotime-backup-np
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-AutoTime-Recovery-NP,rsv-usae2-autotime-recovery-np
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-AutoTime-Recovery-NP,rsv-usae2-autotime-recovery-np
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-AutoTime-Recovery-NP,rsv-usae2-autotime-recovery-np
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Backup-Vault-RSV,vault415
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-Backup-Vault-RSV,vault415
Subscription-Moog-Commercial-Dev/Test,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Backup-Vault-RSV,vault415
Sub-MoogComm-Corp-Analytics-US-Prod,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup,RSV-USAE2-Analytics-Backup
Sub-MoogComm-Corp-Analytics-US-Prod,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Analytics-Backup,RSV-USAE2-Analytics-Backup
Sub-MoogComm-Corp-Analytics-US-Prod,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-Analytics-Backup,RSV-USAE2-Analytics-Backup
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-IEAZ1-Backup-Recovery,RSV-IEAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-IEAZ1-Backup-Recovery,RSV-IEAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-IEAZ1-Backup-Recovery,RSV-IEAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-NLAW2-Backup-Recovery,RSV-NLAW2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-NLAW2-Backup-Recovery,RSV-NLAW2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-NLAW2-Backup-Recovery,RSV-NLAW2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-NLAW2-MDG-Backup,RSV-NLAW2-MDG01
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-NLAW2-MDG-Backup,RSV-NLAW2-MDG01
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-NLAW2-MDG-Backup,RSV-NLAW2-MDG01
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-NLAW2-PRD-MDG-Migration,RSV-NLAW2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-NLAW2-PRD-MDG-Migration,RSV-NLAW2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-NLAW2-PRD-MDG-Migration,RSV-NLAW2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-NLAW2-System,RSV-NLAW2
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-NLAW2-System,RSV-NLAW2
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-NLAW2-System,RSV-NLAW2
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault1
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-SGAZ1-AzureBackup,RSV-SGAZ1-Vault2
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-Backup-Recovery,RSV-SGAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-SGAZ1-Backup-Recovery,RSV-SGAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-SGAZ1-Backup-Recovery,RSV-SGAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-AutoTime-Backup,rsv-usae2-autotime-backup
