SubscriptionName,PolicyName,RetentionDays,RetentionMonths,RunFreq,IdSegment,RecoveryServicesVault,SnapshotRetentionDays,SnapshotType
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-backup,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-backup,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-backup,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-backup-pr,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-backup-pr,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-backup-pr,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-middleware-common,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-middleware-common,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-middleware-common,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,BACKUP-VM-Recovery-Vault,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,BACKUP-VM-Recovery-Vault,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,BACKUP-VM-Recovery-Vault,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usaga-adsap-backup,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usaga-adsap-backup,2,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usaga-adsap-backup,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usaga-adsap-recovery,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usaga-adsap-recovery,5,null
Sub-MoogGov-SAP-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usaga-adsap-recovery,5,null
Production Moog Portal,VirtualMachine-Tier2,30,6,Daily,vaults,BUP-USAGV-SPFarm,5,null
Production Moog Portal,VirtualMachine-Tier3,30,1,Daily,vaults,BUP-USAGV-SPFarm,5,null
Production Moog Portal,VirtualMachine-Tier1,30,13,Daily,vaults,BUP-USAGV-SPFarm,5,null
Production Moog Portal,VirtualMachine-Tier2,30,6,Daily,vaults,BUP-USAGV-SPFarm-STG,5,null
Production Moog Portal,VirtualMachine-Tier1,30,13,Daily,vaults,BUP-USAGV-SPFarm-STG,5,null
Production Moog Portal,VirtualMachine-Tier3,30,1,Daily,vaults,BUP-USAGV-SPFarm-STG,5,null
Production Moog Portal,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-IaaS,5,null
Production Moog Portal,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-IaaS,5,null
Production Moog Portal,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-IaaS,5,null
Production Moog Portal,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-iObeya,5,null
Production Moog Portal,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-iObeya,5,null
Production Moog Portal,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-iObeya,5,null
Production Moog Portal,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGA-DataServices-Recovery,5,null
Production Moog Portal,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGA-DataServices-Recovery,5,null
Production Moog Portal,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGA-DataServices-Recovery,5,null
Production Moog Portal,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGA-SYSTEMS,5,null
Production Moog Portal,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGA-SYSTEMS,5,null
Production Moog Portal,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGA-SYSTEMS,5,null
Production Moog Portal,VirtualMachine-Tier3,30,1,Daily,vaults,vault149,5,null
Production Moog Portal,VirtualMachine-Tier2,30,6,Daily,vaults,vault149,5,null
Production Moog Portal,VirtualMachine-Tier1,30,13,Daily,vaults,vault149,5,null
Sub-MoogGov-CollaborationMessaging-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-CMS-Backup-NP,5,null
Sub-MoogGov-CollaborationMessaging-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-CMS-Backup-NP,5,null
