SubscriptionName,PolicyName,RetentionDays,RetentionWeeks,RetentionMonths,RetentionYears,RunFreq,WorkloadType,IdSegment,RecoveryServicesVault,SnapshotRetentionDays,SnapshotType
Sub-MoogGov-SAP-Prod,FileShare-T3,14,null,1,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-backup,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-backup,null,
Sub-MoogGov-SAP-Prod,FileShare-T1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-backup,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-backup,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-backup,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-backup-pr,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-backup-pr,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-backup-pr,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-middleware-common,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-middleware-common,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usagv-adsap-middleware-common,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,BACKUP-VM-Recovery-Vault,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,BACKUP-VM-Recovery-Vault,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,BACKUP-VM-Recovery-Vault,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usaga-adsap-backup,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usaga-adsap-backup,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usaga-adsap-backup,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,rsv-usaga-adsap-recovery,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,rsv-usaga-adsap-recovery,null,
Sub-MoogGov-SAP-Prod,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,rsv-usaga-adsap-recovery,null,
Production Moog Portal,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,BUP-USAGV-SPFarm,null,
Production Moog Portal,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,BUP-USAGV-SPFarm,null,
Production Moog Portal,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,BUP-USAGV-SPFarm,null,
Production Moog Portal,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,BUP-USAGV-SPFarm-STG,null,
Production Moog Portal,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,BUP-USAGV-SPFarm-STG,null,
Production Moog Portal,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,BUP-USAGV-SPFarm-STG,null,
Production Moog Portal,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAGV-IaaS,null,
Production Moog Portal,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAGV-IaaS,null,
Production Moog Portal,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAGV-IaaS,null,
Production Moog Portal,FileShare-Tier2,30,null,6,null,Daily,vaults,AzureFileShare,RSV-USAGV-iObeya,null,
Production Moog Portal,FileShare-Tier3,30,null,1,null,Daily,vaults,AzureFileShare,RSV-USAGV-iObeya,null,
Production Moog Portal,FileShare-Tier1,30,null,13,null,Daily,vaults,AzureFileShare,RSV-USAGV-iObeya,null,
