SubscriptionName,PolicyName,RetentionDays,RetentionWeeks,RetentionMonths,RetentionYears,IncrementalRetentionDays,SchedulePolicyType,ScheduleRunFrequency,ScheduleRunDays,WorkloadType,ResourceGroup,RecoveryServicesVault
Sub-MoogGov-SAP-Prod,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-ADSAP-Backup,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-Backup,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-Backup,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-Backup-Prep,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-ADSAP-Backup-Prep,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-Backup-Prep,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-Middleware-Common,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-ADSAP-Middleware-Common,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-Middleware-Common,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-MGMT-VM-Backup,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-MGMT-VM-Backup,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-MGMT-VM-Backup,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGA-ADSAP-Backup,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGA-ADSAP-Backup,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGA-ADSAP-Backup,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGA-ADSAP-Recovery,rsv-usaga-adsap-recovery
Sub-MoogGov-SAP-Prod,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGA-ADSAP-Recovery,rsv-usaga-adsap-recovery
Sub-MoogGov-SAP-Prod,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGA-ADSAP-Recovery,rsv-usaga-adsap-recovery
Production Moog Portal,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Moog-AmerGov-SPFarm,BUP-USAGV-SPFarm
Production Moog Portal,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Moog-AmerGov-SPFarm,BUP-USAGV-SPFarm
Production Moog Portal,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-Moog-AmerGov-SPFarm,BUP-USAGV-SPFarm
Production Moog Portal,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Moog-AmerGov-SPFarm-Stg,BUP-USAGV-SPFarm-STG
Production Moog Portal,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-Moog-AmerGov-SPFarm-Stg,BUP-USAGV-SPFarm-STG
Production Moog Portal,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Moog-AmerGov-SPFarm-Stg,BUP-USAGV-SPFarm-STG
Production Moog Portal,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Moog-AmerGov-System,RSV-USAGV-IaaS
Production Moog Portal,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-Moog-AmerGov-System,RSV-USAGV-IaaS
Production Moog Portal,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Moog-AmerGov-System,RSV-USAGV-IaaS
Production Moog Portal,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Moog-AmerGov-DistApps-iObeya,RSV-USAGV-iObeya
Production Moog Portal,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-Moog-AmerGov-DistApps-iObeya,RSV-USAGV-iObeya
Production Moog Portal,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-Moog-AmerGov-DistApps-iObeya,RSV-USAGV-iObeya
