SubscriptionName,PolicyName,RetentionDays,RetentionMonths,SchedulePolicyType,ScheduleRunFrequency,WorkloadType,ResourceGroup,RecoveryServicesVault
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Backup,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Backup,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Backup,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Backup-Prep,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Backup-Prep,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Backup-Prep,rsv-usagv-adsap-backup-pr
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Middleware-Common,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Middleware-Common,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-ADSAP-Middleware-Common,rsv-usagv-adsap-middleware-common
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-MGMT-VM-Backup,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-MGMT-VM-Backup,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGV-MGMT-VM-Backup,BACKUP-VM-Recovery-Vault
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGA-ADSAP-Backup,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGA-ADSAP-Backup,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGA-ADSAP-Backup,rsv-usaga-adsap-backup
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier3,30,1,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGA-ADSAP-Recovery,rsv-usaga-adsap-recovery
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier1,30,13,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGA-ADSAP-Recovery,rsv-usaga-adsap-recovery
Sub-MoogGov-SAP-Prod,SQLVirtualMachine-Tier2,30,6,SimpleSchedulePolicy,Daily,SQLDataBase,RG-USAGA-ADSAP-Recovery,rsv-usaga-adsap-recovery
