Subscription,Resource Group,VM Name,Change Tracking Enabled
Sub-MoogComm-Aircraft-Convergence-NonProd,cvg-sim-cmp-rg,cvg-sim-cmp-licenceserver,No
Sub-MoogComm-Aircraft-Convergence-NonProd,cvg-sim-img-rg,cvg-sim-img-plantsimvm,No
Sub-MoogComm-Aircraft-Convergence-NonProd,RG-GBAZ1-CVG-Convergence-Bastion-SB,gbaz1scvgba01,No
Sub-MoogComm-Aircraft-Convergence-NonProd,RG-GBAZ1-Convergence-Solumina-ActiveMQ-SB,gbaz1scvgmq01,Yes
Sub-MoogComm-Aircraft-Convergence-NonProd,RG-GBAZ1-CVG-WP2-DevelopmentVms-NP,gbaz1ncvgdev1,Yes
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-Integration-Runtime-SB,usae2sint01,No
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-IRE-SB,usae2sint02,No
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-IRE-SB,usae2sint03,No
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-IRE-SB,usae2sint04,No
Sub-MoogComm-Corp-Analytics-NonProd,RG-USAE2-Analytics-Synapse-IRE-SB,usae2sint05,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,24cb4271f95b438cb6c8ae2c82046504,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,439d9da7d6c744008122692b61a0486b,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,586eadf76eb94bfba47d9778261a77de,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,63df0d4e009e413c90f245cb6fbc1ac8,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,691e57fa4f9e4af38de6950bed94cfea,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,7019ce71d4bd4794b3680504c83d6575,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,7f7081fe4d9043c089d09cadfcd341c0,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,b12d25177383450c9ae5324196796d66,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwdev-kmdbo5amwx42k,bed276aa6a24491aabec6394aac1d3a0,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwqual-qpq5witasspio,1ceea94fa0a44ce8acc2bc9d5a7b4d81,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwqual-qpq5witasspio,4373fa26d6a2431a81fc21ddc5c80152,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwqual-qpq5witasspio,49be14cf8716434f9fc37aaaaf0f7edf,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwqual-qpq5witasspio,731e0f1c00874ca1b6ae9efba71eb7b5,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwqual-qpq5witasspio,895f401e83ef4f82a8fcfea185a37d05,No
Sub-MoogComm-Corp-Analytics-NonProd,databricks-rg-adbsusae2medwqual-qpq5witasspio,e06ed05e76ed4b559e2fc355b2971e7f,No
Sub-MoogComm-Corp-Analytics-UK-NonProd,RG-GBAZ1-Analytics-Synapse-Integration-Runtime-NP,gbaz1nint01,No
Sub-MoogComm-Corp-Analytics-UK-NonProd,RG-GBAZ1-Analytics-Synapse-Integration-Runtime-NP,gbaz1nint02,No
Sub-MoogComm-Corp-Analytics-UK-NonProd,RG-GBAZ1-Analytics-Synapse-Integration-Runtime-NP,gbaz1nint03,No
Subscription-Moog-Commercial-Dev/Test,RG-GBAZ1-APPDEV-DEV,IGAppdevDEV1,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Americas-MoogWebContent,usaz2svmwapp03,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Dev-DistApps,usaz2svdfgwdv01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Dev-DistApps,usaz2svhcmdv01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-IDM,usaz2svidmd01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIORCD01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD02,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD03,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD04,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD05,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD06,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-DEV-RPA,USAZ2SVUIWKSD07,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-Application-Dev,usaz2svd2atweb01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-Services-Dev,usaz2svd2atsvc01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-WebClock-Dev,usaz2svd2atwebclk01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-Keycloak-Dev,usaz2svd2atkc01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-DataFactory-Dev,usaz2d2atadf01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-WebClock-QA,usaz2svq2atwebclk01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-Services-QA,usaz2svq2atsvc01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-Application-QA,usaz2svq2atweb01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-Keycloak-QA,usaz2svq2atkc01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-2-DataFactory-QA,usaz2q2atadf01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Automic-Engine-Test,usaz2xautapp01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-POC-ADBRIDGE-TESTING-NP,usaz2nadb01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-AutoTime-DataFactory-QA,usae2svqatadf01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-AutoTime-DataFactory-QA,usae2svqatadf02,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-Core-Security-Storage-NP,BeyondTrust-br.v.2,No
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-Core-Security-Storage-NP,beyondtrustrs01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-Core-Security-Storage-NP,beyondtrustrs02,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-ESAR-DEV,USAZ2SVESARD01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-On-Prem-Data_Gateway,USAZ2SVOPDGWD01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AzureDataFactory-Sandbox,USAZ2SVSADFIDE1,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AirCraftCommandCenter-Sandbox,USAZ2SVSSYNIR01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Services-QA,usaz2svqatsvc01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Services-QA,usaz2svqatsvc02,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-QA,usaz2svqatweb01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-QA,usaz2svqatweb02,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-WebClock-QA,usaz2svqatwebclk01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-WebClock-QA,usaz2svqatwebclk02,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-DataFactory-QA,usaz2svqatadf01,Yes
