Subscription Name,VM Name,Resource Group,Update Group,Location,Maintenance Configuration ID
Sub-MoogGov-SAP-Prod,usagvpautagt01,RG-USAGV-ADSAP-AUTOMIC-AGENT,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,usagvpautagt02,RG-USAGV-ADSAP-AUTOMIC-AGENT,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,usagvpsdaa01,RG-USAGV-ADSAP-DEVOPS-AUTOMATION,SLOW1-Tue-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,usagvsvpprint01,RG-USAGV-ADSAP-PRINTSERVER,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,usagvsvpprint02,RG-USAGV-ADSAP-PRINTSERVER,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,agvrfscs01,RG-USAGV-ADSAP-SAP-AS-CENTRALSERVICES-FIORI-PREP,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,agvrfscs02,RG-USAGV-ADSAP-SAP-AS-CENTRALSERVICES-FIORI-PREP,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,agvrscs01,RG-USAGV-ADSAP-SAP-AS-CENTRALSERVICES-PREP,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,agvrscs02,RG-USAGV-ADSAP-SAP-AS-CENTRALSERVICES-PREP,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,agvpdsas01,RG-USAGV-ADSAP-SAP-AS-DATASERVICES-EHUB,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,usagvsvpibpas01,RG-USAGV-ADSAP-SAP-AS-IBP-CPI-AGENT,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,usagvsvpibpas02,RG-USAGV-ADSAP-SAP-AS-IBP-CPI-AGENT,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,agvrposcs01,RG-USAGV-ADSAP-SAP-AS-PO-CENTRALSERVICES-PREP,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,agvrposcs02,RG-USAGV-ADSAP-SAP-AS-PO-CENTRALSERVICES-PREP,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
Sub-MoogGov-SAP-Prod,agvpposcs01,RG-USAGV-ADSAP-SAP-AS-PO-CENTRALSERVICES,ADSAP-Prod,usgovvirginia,Slow1-USAGV-ADSAP-Prod
